代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sh600482,中国动力,29.17,1.47,0.93,6.83,6.71,5.27,384.79
sh600027,华电国际,21.48,0.72,0.46,8.75,11.06,4.2,382.68
sh601108,财通证券,44.6,1.89,1.7,11.58,14.25,8.74,379.36
sh600848,上海临港,84.86,5.5,0.35,0.52,8.19,7.44,379.09
sz300142,沃森生物,35.59,8.16,0,16.18,-3.36,3.9,378.21
sh603156,养元饮品,14.52,2.94,7.27,74.98,46.29,37.06,377.12
sz002008,大族激光,24.65,4.38,0.57,21.28,19.89,21.33,373.37
sh600297,广汇汽车,12.68,0.99,3.29,6.47,11.73,12.01,373.17
sh603589,口子窖,22.87,5.55,1.21,25.25,22.37,23.74,372.54
sz000898,鞍钢股份,5.47,0.71,4.52,7.41,4.44,10.1,371.15
sz002558,巨人网络,36.55,4.04,1.1,13.78,11.02,16.27,369.65
sh603899,晨光文具,42.78,10.04,0.62,28.34,25.14,24.14,368.28
sh600390,五矿资本,13.35,1.09,2.03,1.97,8.8,8.69,365.47
sz000418,小天鹅A,18.57,4.06,0,10.67,20.95,22.89,362.98
sh600637,东方明珠,16.95,1.26,3.31,7.02,11.58,8.97,362.84
sh603019,中科曙光,78.76,9.34,0.25,16.42,12.27,11.11,361.2
sh600233,圆通速递,18.4,3.03,0.87,15.01,28.44,21.09,359.5
sz000425,徐工机械,13.88,1.15,0.88,13.48,3.27,4.66,358
sh603369,今世缘,27.88,5.31,0.88,28.44,19.28,18.63,357.66
sh601866,中远海发,20.94,1.73,0,6.18,5.96,6.62,356.34
sz002624,完美世界,19.34,3.99,0.63,26.83,21.62,22.24,354.34
sz300347,泰格医药,67.61,12.82,0.28,20.97,14.68,13.58,352.77
sh600170,上海建工,9.87,1.09,3.42,10.02,10.75,10.95,351.72
sz000656,金科股份,8.86,1.5,3.8,9.39,12.21,13.17,351.35
sh600236,桂冠电力,15.01,2.39,5.71,12.67,21,18.24,350.46
sz002673,西部证券,56.47,1.96,0.7,12.19,9.65,5.04,350.18
sz002468,申通快递,16.67,3.89,0.88,32.22,48.12,46.57,346.11
sh600875,东方电气,27.21,1.19,0,10.38,1.56,-0.35,345.24
sh600176,中国巨石,15.28,2.35,2.54,12.94,17.11,17.06,344.63
sz002179,中航光电,33.69,5.42,0.28,18.48,17.31,18.6,343.35
sh600004,白云机场,37.3,2.16,1.45,11.77,12.1,11.04,343.09
sh600516,方大炭素,7.73,2.55,10.07,11.09,19.46,30.62,341.06
sz300408,三环集团,26.31,4.68,1.02,30.45,22.92,20.65,340.96
sh600655,豫园股份,10.62,1.14,1.71,10.57,9.56,7.88,340.37
sz002299,圣农发展,16.65,4.05,0,12.63,6.97,13.08,338.25
sz000860,顺鑫农业,41.9,4.74,0.25,8.48,7.9,7.82,338.19
sz000786,北新建材,14.65,2.31,1.78,13.75,17.24,17.67,337.39
sh600177,雅戈尔,8.58,1.16,4.26,17.73,15.35,10.63,336.66
sh601198,东兴证券,26.01,1.68,1.24,11.06,10.76,7.11,334.26
sz300601,康泰生物,78,16.45,0.23,12.97,16.57,22.11,331.9
sz002466,天齐锂业,20.06,3.26,0.69,16.82,22.01,32.7,331.2
sz002601,龙蟒佰利,14.23,2.54,7.44,15.62,10.57,15.05,328.78
sh601577,长沙银行,7.12,1.03,0,19.96,18.74,17.39,328.47
sh601555,东吴证券,35.72,1.56,1.38,9.27,8.29,4.39,326.1
sz002608,江苏国信,10.14,1.28,0,13.27,3.07,11.42,326.05
sz002410,广联达,74.24,10.02,0.87,24.99,15.29,14.92,325.01
sz002460,赣锋锂业,29.03,3.98,1.62,18.26,21.44,31.69,324.43
sz000961,中南建设,14.06,1.8,0.23,9.92,7.31,6.95,322.75
sh600518,康美药业,-479.44,1.13,3.64,14.26,13.72,10.78,321.31
sz000709,河钢股份,8.85,0.57,3.31,7.99,3.53,4.91,320.68
sh601838,成都银行,6.53,0.98,3.17,18.49,16.22,15.04,318.96
sh601990,南京证券,95.94,2.95,0,9.33,9.83,4.03,318.89
sz002936,郑州银行,10.8,0.84,0,20.15,19.76,16.35,318.6
sh600816,安信信托,-12.31,2.48,8.62,15.72,34.49,17.61,317.21
sz300144,宋城演艺,23.65,3.42,0.55,21.87,14.64,15.68,315.8
sh600498,烽火通信,36.19,3.1,1.26,8.96,9.76,9.92,315.32
sz002050,三花智控,24.16,3.61,2.2,17.17,13.63,17.52,314.73
sz000627,天茂集团,23.89,1.55,0.63,4.27,10.54,10.35,314.72
sz000977,浪潮信息,45.22,3.49,0.16,6.76,11.88,8.19,314.71
sh603260,合盛硅业,12.19,3.77,0.94,21.89,27.04,37.44,314.1
sz002153,石基信息,66.9,3.76,0.34,22.24,12.58,7.85,314.08
sz000413,东旭光电,14.47,0.95,1.28,0.67,8.25,7.16,314.02
sz300146,汤臣倍健,27.77,5.84,1.55,35.09,16.85,15.52,313.15
sz002916,深南电路,40.64,7.95,0.46,17.4,18.47,21.49,311.67
sh600675,中华企业,8.08,2.07,0,9.67,-3.53,18.39,311.41
sz002271,东方雨虹,20.14,3.84,0.72,21.47,22.13,21.81,309.46
sz002411,延安必康,90.14,3.2,0.5,20.76,13.81,9.16,309.21
sh600535,天士力,19.04,2.81,1.96,18.24,20.11,15.27,308.74
sz002371,北方华创,128.74,8.6,0.04,11.37,4.17,4.77,306.73
sz002127,南极电商,33.33,7.94,0.5,18.68,28.67,25.02,306.37
sz000728,国元证券,33.08,1.22,1.65,4.08,7.67,5.06,306.26
sz002945,华林证券,0,0,0,16.93,18.95,13.59,305.91
sh601878,浙商证券,37.69,2.11,1.09,10.2,13.02,9.49,305.33
sz002948,青岛银行,0,0,0,13.56,10.39,6.86,305.31
sh600487,亨通光电,12.16,2.32,1,15.28,19.28,24.71,304.78
sh600066,XD宇通客,13.12,1.79,3.64,21.96,24.68,22.56,303.97
sh601212,白银有色,552.81,2.85,0.26,2.71,1.31,1.54,302.2
sz002773,康弘药业,42.96,7,0.63,19.44,19,19.06,300.73
sh601997,贵阳银行,5.69,0.85,2.52,23.66,22.62,20.1,300.43
sh601117,中国化学,13.95,0.9,1.56,14.51,8.81,6.15,300.42
sh600299,安迪苏,34.51,2.22,1.54,5.13,14.24,11.4,300.37
sz002506,协鑫集成,133.95,6.98,0,-28.13,2.01,0.3,299.44
sz002110,三钢闽光,4.58,1.54,8.23,13.42,13.53,36.7,297.95
sh600895,张江高科,65.2,3.31,0.52,8.86,6.78,7.04,297.5
sh600867,通化东宝,35.37,5.93,1.37,8.34,18.78,19.4,296.56
sh600100,同方股份,-9.51,1.76,0.15,6.49,2.82,-0.12,296.39
sh600872,中炬高新,47.07,8.19,0.49,7.48,13.97,15.64,295.15
sz002405,四维图新,65.86,4.08,0.19,22.39,5.52,5.85,294.91
sz002563,森马服饰,17.04,2.56,2.29,32.3,14.25,14.15,294.55
sh600977,中国电影,19.5,2.51,2.07,16.14,14.16,12.42,294.43
